鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新莊區,車位,福樂街32巷1~30號,0.0,,,,1100111,土地0建物1車位1,,,其他,,,,29.47,0,0,0,有,有,2000000,,坡道平面,29.47,2000000,僅車位交易;,RPVTMLNKJHGGFBF28DA,0.0,0.0,0.0,有,0015
泰山區,土地,信華段五小段31~60地號,110.04,都市：其他:第三種住宅區。,,,1091110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23302090,211760,,0.0,0,,RPRVMLOKJHGGFBF18DA,0.0,0.0,0.0,無,0016
泰山區,土地,信華段五小段31~60地號,761.1,都市：其他:第三種住宅區。,,,1091106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,161161000,211747,,0.0,0,,RPSVMLOKJHGGFBF28DA,0.0,0.0,0.0,無,0017
新莊區,房地(土地+建物)+車位,思源路481~510號,25.8,都市：其他:商業區,,,1091218,土地1建物1車位2,六層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021213,302.08000000000004,4,2,2,有,有,32260000,106793,坡道平面,77.4,0,,RPVSMLPKJHGGFBF38DA,136.01,5.44,10.83,有,
五股區,房地(土地+建物)+車位,六合街61~90號,69.96,都市：其他:第五種住宅區,,,1091122,土地3建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970814,188.49,4,2,2,有,有,12500000,66317,坡道平面,0.0,0,,RPTOMLSKJHGGFBF08DA,103.55,0.0,10.37,有,
新莊區,房地(土地+建物),新北大道四段151~180號,11.88,都市：其他:第二種商業區,,,1091226,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050128,85.7,2,1,1,有,有,10600000,123687,,0.0,0,,RPUQMLSKJHGGFBF38DA,43.44,0.0,7.87,有,0018
五股區,土地,水碓段塭底小段1~30地號,696.73,都市：其他:農業區,,,1091230,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13590000,19505,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPONPLTKJHGGFBF87DA,0.0,0.0,0.0,無,
新莊區,房地(土地+建物),新莊路649巷13弄1~30號,26.45,都市：其他:住宅區,,,1100103,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681217,84.82,3,1,2,有,無,8000000,94317,,0.0,0,,RPROPLTKJHGGFBF28DA,84.82,0.0,0.0,無,
新莊區,房地(土地+建物)+車位,思源路192巷31~60號,26.52,都市：其他:第二種住宅區,,,1091213,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021024,205.53,3,2,2,有,有,22000000,107040,坡道平面,45.23,0,,RPVNMLLLJHGGFBF57DA,89.87,5.18,9.08,有,0019
五股區,房地(土地+建物)+車位,新五路三段121~150號,12.93,都市：其他:商業區,,,1090918,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090902,111.04,1,1,1,有,有,8500000,92392,坡道平面,41.77,2100000,,RPTUMLLLJHGGFBF08DA,43.1,0.0,4.74,有,
